%time,field.header.seq,field.header.stamp,field.header.frame_id,field.d,field.d_ref,field.sigma_d,field.phi,field.phi_ref,field.sigma_phi,field.curvature,field.curvature_ref,field.v_ref,field.status,field.in_lane
1571197791450791539,25668,1571197791127095937,,-0.0599999986589,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197791559011956,25669,1571197791170120954,,-0.0599999986589,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197791664318675,25670,1571197791227516889,,-0.019999999553,0.0,0.0,-0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197791721390914,25671,1571197791297146081,,-0.10000000149,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197791787508883,25672,1571197791462279081,,-0.0799999982119,0.0,0.0,0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197791882739925,25673,1571197791499387025,,-0.10000000149,0.0,0.0,0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197792031450758,25674,1571197791832822084,,-0.0799999982119,0.0,0.0,0.550000011921,0.0,0.0,0.0,0.0,0.0,0,1
1571197792142088414,25675,1571197791895179033,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197792233177373,25676,1571197791934632062,,-0.0399999991059,0.0,0.0,0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197792317430237,25677,1571197791992468118,,-0.0399999991059,0.0,0.0,0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197792383321695,25678,1571197792125586032,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197792477324195,25679,1571197792227583885,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197792534818154,25680,1571197792292344093,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197792649960966,25681,1571197792392469882,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197792755941591,25682,1571197792492439985,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197792869718935,25683,1571197792595120906,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197792943638362,25684,1571197792691720008,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197793037231956,25685,1571197792759397029,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197793161216070,25686,1571197792802299022,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197793233143258,25687,1571197792959849119,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197793290746174,25688,1571197793027239084,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197793391572737,25689,1571197793130094051,,0.0,0.0,0.0,0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197793510698622,25690,1571197793227417945,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197793587530393,25691,1571197793324973106,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197793705096330,25692,1571197793397550106,,0.0399999991059,0.0,0.0,-0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197793898211747,25693,1571197793459480047,,0.0599999986589,0.0,0.0,-0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197793970330549,25694,1571197793561126947,,0.0599999986589,0.0,0.0,-0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197794083981799,25695,1571197793670037984,,0.0399999991059,0.0,0.0,-0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197794251716799,25696,1571197793803911924,,0.10000000149,0.0,0.0,-0.649999976158,0.0,0.0,0.0,0.0,0.0,0,1
1571197794370966070,25697,1571197793966291904,,0.019999999553,0.0,0.0,-0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197794584173986,25698,1571197794141901016,,0.0399999991059,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197794712037163,25699,1571197794264555931,,0.0599999986589,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
